created,outcome,resolved
2026-09-02,done,2026-09-13
2026-09-02,done,2026-09-16
2026-09-02,done,2026-09-13
2026-09-02,done,2026-09-13
2026-09-03,open,
2026-09-03,done,2026-09-13
2026-09-03,done,2026-09-13
2026-09-03,done,2026-09-13
2026-09-03,done,2026-09-13
2026-09-03,done,2026-09-13
2026-09-03,done,2026-09-16
2026-09-03,done,2026-09-16
2026-09-03,done,2026-09-13
2026-09-03,done,2026-09-16
2026-09-03,done,2026-09-16
2026-09-03,done,2026-09-16
2026-09-03,done,2026-09-16
2026-09-03,open,
2026-09-03,done,2026-09-15
2026-09-03,done,2026-09-16
2026-09-03,done,2026-09-16
2026-09-03,done,2026-09-16
2026-09-12,done,2026-09-13
2026-09-12,done,2026-09-16
2026-09-12,done,2026-09-15
2026-09-13,done,2026-09-16
2026-09-13,done,2026-09-16
2026-09-13,done,2026-09-16
2026-09-13,done,2026-09-16
2026-09-13,open,
2026-09-13,done,2026-09-16
2026-09-13,done,2026-09-15
2026-09-13,done,2026-09-16
2026-09-13,open,
2026-09-13,done,2026-09-15
2026-09-13,done,2026-09-16
2026-09-13,done,2026-09-16
2026-09-13,open,
2026-09-13,done,2026-09-16
2026-09-13,done,2026-09-16
2026-09-13,done,2026-09-16
2026-09-13,done,2026-09-16
2026-09-13,done,2026-09-17
2026-09-13,done,2026-09-16
2026-09-13,open,
2026-09-13,done,2026-09-16
2026-09-13,done,2026-09-17
2026-09-13,done,2026-09-17
2026-09-13,open,
2026-09-13,done,2026-09-16
2026-09-13,done,2026-09-16
2026-09-13,open,
2026-09-13,done,2026-09-15
2026-09-13,done,2026-09-15
2026-09-13,open,
2026-09-13,done,2026-09-15
2026-09-14,open,
2026-09-14,done,2026-09-16
2026-09-14,open,
2026-09-14,open,
2026-09-15,open,
2026-09-15,open,
2026-09-15,done,2026-09-15
2026-09-15,open,
2026-09-15,done,2026-09-15
2026-09-15,open,
2026-09-15,open,
2026-09-15,open,
2026-09-16,open,
2026-09-16,open,
2026-09-16,open,
2026-09-16,open,
2026-09-16,open,
2026-09-16,open,
2026-09-16,open,
2026-09-16,open,
2026-09-16,open,
2026-09-16,open,
2026-09-17,open,
